product_id,ingredient_id
187,45
187,117
187,267
188,260
188,117
188,126
188,264
188,120
188,531
188,17
188,40
188,38
188,532
188,48
188,164
188,524
188,53
188,526
188,47
188,530
188,36
188,504
188,529
188,151
188,35
188,13
188,287
188,514
188,527
188,525
188,14
188,523
188,501
188,52
188,528
189,535
189,125
189,46
189,49
189,120
189,260
189,110
189,52
189,128
189,13
189,51
189,517
189,513
189,48
189,176
189,42
189,54
189,500
189,533
189,107
189,17
189,534
189,50
189,12
189,40
189,45
189,117
190,45
190,538
190,272
190,42
190,120
190,264
190,9
190,117
190,110
190,53
190,52
190,537
190,40
190,515
190,467
190,48
190,502
190,517
190,50
190,10
190,514
190,377
190,54
190,13
190,536
190,469
190,176
190,539
190,470
191,45
191,52
191,9
191,541
191,272
191,264
191,17
191,66
191,523
191,38
191,338
191,540
191,48
191,40
191,542
191,13
191,470
191,47
191,54
191,377
191,35
191,36
191,514
191,469
191,117
191,513
191,515
192,545
192,348
192,215
192,233
192,235
192,225
192,228
192,544
192,552
192,350
192,553
192,247
192,345
192,214
192,223
192,548
192,551
192,226
192,543
192,358
192,546
192,217
192,344
192,549
192,120
192,220
192,356
192,205
192,547
192,227
192,550
193,50
193,34
193,554
193,484
193,17
193,305
193,18
193,507
193,505
193,39
193,120
193,100
193,49
193,558
193,117
193,12
193,506
193,13
193,557
193,555
193,509
193,556
193,508
194,108
194,18
194,372
194,563
194,113
194,305
194,559
194,506
194,504
194,564
194,505
194,560
194,562
194,111
194,50
194,565
194,100
194,484
194,49
194,508
194,13
194,52
194,561
194,507
195,569
195,567
195,13
195,50
195,571
195,118
195,572
195,34
195,17
195,18
195,555
195,45
195,117
195,100
195,39
195,570
195,513
195,568
195,509
195,523
195,556
195,566
195,557
195,12
196,576
196,547
196,584
196,543
196,227
196,582
196,220
196,120
196,573
196,585
196,350
196,578
196,228
196,358
196,551
196,579
196,356
196,191
196,243
196,223
196,217
196,574
196,230
196,580
196,581
196,225
196,192
196,244
196,214
196,577
196,246
196,200
196,236
196,204
196,575
196,248
196,583
196,586
196,360
196,249
196,241
196,345
196,240
196,347
196,238
196,247
197,42
197,39
197,188
197,592
197,49
197,46
197,591
197,52
197,300
197,45
197,589
197,125
197,376
197,17
197,379
197,178
197,37
197,13
197,12
197,588
197,47
197,496
197,590
197,34
197,41
197,14
197,50
197,587
198,596
198,376
198,175
198,52
198,598
198,595
198,300
198,53
198,599
198,45
198,589
198,51
198,125
198,46
198,41
198,173
198,12
198,379
198,188
198,593
